Data	Standard	Correction	Scaling	ScalingBiasOrder	ScalingOrder	ScalingBias	ScalingBiasOrderLS100
bloom-560m/0.mlp.dense_4h_to_h	0.0017443508841097355	0.0013673125067725778	0.001300846692174673	0.0011545548914000392	0.0011864418629556894	0.0011670233216136694	0.0008761662757024169
bloom-560m/0.mlp.dense_h_to_4h	0.015879923477768898	0.01621854491531849	0.016704730689525604	0.015738442540168762	0.01570979133248329	0.01570393331348896	0.013829251751303673
bloom-560m/0.self_attention.dense	0.0003785071603488177	0.00026241366867907345	0.0002760561474133283	0.00023773699649609625	0.0002432582841720432	0.00023981188132893294	0.00022886658553034067
bloom-560m/0.self_attention.query_key_value	0.027388401329517365	0.02613968215882778	0.025547752156853676	0.024611277505755424	0.024395370855927467	0.024961190298199654	0.01942387782037258
bloom-560m/1.mlp.dense_4h_to_h	0.0011707769008353353	0.0011232608230784535	0.0011319166515022516	0.0010773648973554373	0.0010828925296664238	0.0011011749738827348	0.0009339542011730373
bloom-560m/1.mlp.dense_h_to_4h	0.020950887352228165	0.021188806742429733	0.021548325195908546	0.021010134369134903	0.020937947556376457	0.021007981151342392	0.018033817410469055
bloom-560m/1.self_attention.dense	0.0002554560196585953	0.000242296839132905	0.00027903506997972727	0.00023578018590342253	0.00024474505335092545	0.0002385820698691532	0.00022143780370242894
bloom-560m/1.self_attention.query_key_value	0.0289306640625	0.028952360153198242	0.028488019481301308	0.028366096317768097	0.028045272454619408	0.02861652337014675	0.024334529414772987
bloom-560m/10.mlp.dense_4h_to_h	0.0022429190576076508	0.002190901432186365	0.002079810481518507	0.0019898770842701197	0.001997212413698435	0.0020455988124012947	0.0017984352307394147
bloom-560m/10.mlp.dense_h_to_4h	0.03122517839074135	0.028898919001221657	0.03040171042084694	0.02785508707165718	0.027755720540881157	0.028361741453409195	0.023837365210056305
bloom-560m/10.self_attention.dense	0.0009373261709697545	0.0009335139766335487	0.0009463872411288321	0.0009061919990926981	0.0009105470962822437	0.0009388303733430803	0.0008287670789286494
bloom-560m/10.self_attention.query_key_value	0.6510800719261169	0.33914172649383545	0.13961374759674072	0.15309667587280273	0.130073681473732	0.15458159148693085	0.12255197763442993
bloom-560m/11.mlp.dense_4h_to_h	0.002100879093632102	0.0020686257630586624	0.002065541222691536	0.001968225697055459	0.001968578202649951	0.0020358620677143335	0.0017925247084349394
bloom-560m/11.mlp.dense_h_to_4h	0.032261572778224945	0.030323319137096405	0.031178954988718033	0.028828158974647522	0.028895394876599312	0.029584551230072975	0.02475637011229992
bloom-560m/11.self_attention.dense	0.0009181813802570105	0.0009084517951123416	0.0009332817862741649	0.000905742752365768	0.0009117366862483323	0.0009155368898063898	0.0008309987606480718
bloom-560m/11.self_attention.query_key_value	0.29176872968673706	0.2548283338546753	0.09297697991132736	0.09841379523277283	0.08864527940750122	0.09958293288946152	0.08385135978460312
bloom-560m/12.mlp.dense_4h_to_h	0.0022660167887806892	0.002243011724203825	0.002267003757879138	0.0021643401123583317	0.0021673589944839478	0.0022425386123359203	0.002050244715064764
bloom-560m/12.mlp.dense_h_to_4h	0.03863951563835144	0.038704223930835724	0.03861859440803528	0.038238659501075745	0.0374777652323246	0.03846661001443863	0.0326748862862587
bloom-560m/12.self_attention.dense	0.0009060955489985645	0.0009017485426738858	0.0009058004943653941	0.0008855112828314304	0.0008900512475520372	0.0008992252987809479	0.000811769044958055
bloom-560m/12.self_attention.query_key_value	0.35735413432121277	0.293391615152359	0.1172524094581604	0.13733425736427307	0.11341693252325058	0.1376461386680603	0.10942647606134415
bloom-560m/13.mlp.dense_4h_to_h	0.0022161873057484627	0.0021932576783001423	0.002214636653661728	0.0021190783008933067	0.0021198196336627007	0.0021924846805632114	0.002011064440011978
bloom-560m/13.mlp.dense_h_to_4h	0.03933871537446976	0.03933996334671974	0.039765577763319016	0.03930282220244408	0.038654230535030365	0.03934483230113983	0.03367379307746887
bloom-560m/13.self_attention.dense	0.0009591981652192771	0.0009531754767522216	0.0009647755068726838	0.0009372433414682746	0.0009404786396771669	0.0009531865944154561	0.0008625576156191528
bloom-560m/13.self_attention.query_key_value	0.2795940935611725	0.27124491333961487	0.12040814012289047	0.14527226984500885	0.11340395361185074	0.1458812654018402	0.10488235950469971
bloom-560m/14.mlp.dense_4h_to_h	0.0023200511932373047	0.0022982642985880375	0.002319594845175743	0.0022222106344997883	0.0022238539531826973	0.002294756704941392	0.002113600727170706
bloom-560m/14.mlp.dense_h_to_4h	0.03825652599334717	0.03869643062353134	0.03913945332169533	0.03863409161567688	0.038288239389657974	0.03881310299038887	0.03347032144665718
bloom-560m/14.self_attention.dense	0.0007904332014732063	0.0007871900452300906	0.0007889926200732589	0.0007816765573807061	0.0007851435802876949	0.0007845314685255289	0.000705544778611511
bloom-560m/14.self_attention.query_key_value	0.27123793959617615	0.26248523592948914	0.12585824728012085	0.16379718482494354	0.120086669921875	0.1555120199918747	0.10961764305830002
bloom-560m/15.mlp.dense_4h_to_h	0.002474080305546522	0.0024562182370573282	0.0024767029099166393	0.0023896859493106604	0.0023909551091492176	0.002454710192978382	0.002277717925608158
bloom-560m/15.mlp.dense_h_to_4h	0.039357420057058334	0.03956286981701851	0.040353015065193176	0.03950867801904678	0.039191070944070816	0.03959859907627106	0.03434646874666214
bloom-560m/15.self_attention.dense	0.0008419006480835378	0.0008336068131029606	0.0008392721647396684	0.0008172930683940649	0.0008221445605158806	0.0008241513278335333	0.0007488057599402964
bloom-560m/15.self_attention.query_key_value	0.24136990308761597	0.2468920201063156	0.11922037601470947	0.14011827111244202	0.11054262518882751	0.14488060772418976	0.10760176181793213
bloom-560m/16.mlp.dense_4h_to_h	0.0027627365197986364	0.0027425638400018215	0.0027613388374447823	0.002668027300387621	0.002668628701940179	0.002741415286436677	0.00254648900590837
bloom-560m/16.mlp.dense_h_to_4h	0.040154263377189636	0.040802001953125	0.04077637940645218	0.040050942450761795	0.03941493481397629	0.040586985647678375	0.034792643040418625
bloom-560m/16.self_attention.dense	0.0008925535948947072	0.0008861051173880696	0.000895211473107338	0.0008731436100788414	0.0008780091302469373	0.0008812880842015147	0.0007980976952239871
bloom-560m/16.self_attention.query_key_value	0.27312180399894714	0.2775671184062958	0.14039738476276398	0.16505347192287445	0.12321599572896957	0.16815465688705444	0.115234375
bloom-560m/17.mlp.dense_4h_to_h	0.0032194480299949646	0.0032011514995247126	0.0032190384808927774	0.003099646884948015	0.0030988361686468124	0.003197683487087488	0.0029678507708013058
bloom-560m/17.mlp.dense_h_to_4h	0.038714539259672165	0.040072668343782425	0.04009092226624489	0.0402519591152668	0.038507528603076935	0.040113791823387146	0.03473617881536484
bloom-560m/17.self_attention.dense	0.0009149910183623433	0.0008950390620157123	0.0009377981768921018	0.0008827515412122011	0.0008907968876883388	0.0008959233528003097	0.0008025799761526287
bloom-560m/17.self_attention.query_key_value	0.19301556050777435	0.20829910039901733	0.10403668880462646	0.13091804087162018	0.09961080551147461	0.13986514508724213	0.0973498597741127
bloom-560m/18.mlp.dense_4h_to_h	0.0037956596352159977	0.0037762299180030823	0.0038009651470929384	0.003662470728158951	0.0036652255803346634	0.0037782201543450356	0.003511892631649971
bloom-560m/18.mlp.dense_h_to_4h	0.040152013301849365	0.042398225516080856	0.041572123765945435	0.042523033916950226	0.03996774181723595	0.042184118181467056	0.03639274090528488
bloom-560m/18.self_attention.dense	0.0012153938878327608	0.0011892092879861593	0.0012355862418189645	0.0011875230120494962	0.00120032939594239	0.0011966484598815441	0.001084326533600688
